ประเภทโคมไฟ,ทิศทางที่ตั้ง (LT/RT/MD),สถานะ,ชนิดของหลอดไฟ,ตู้คอนโทรล,วันที่ก่อสร้าง,สัญญาที่,สายทาง,ตอนควบคุม,กม.,วันที่ซ่อมครั้งล่าสุด,สาเหตุการเสียหาย,วิธีการซ่อม,หมายเหตุ,Lat,Long
sg,rt50,,,,,,212,0301,247+477,,,,, 17.7557,104.3048
sg,rt51,,,,,,212,0301,247+520,,,,, 17.7557,104.3051
sg,rt52,,,,,,212,0301,247+557,,,,, 17.7556,104.3055
sg,rt53,,,,,,212,0301,247+617,,,,, 17.7554,104.3060
sg,rt54,,,,,,212,0301,247+677,,,,, 17.7553,104.3065
sg,rt55,,,,,,212,0301,247+720,,,,, 17.7552,104.3069
sg,rt56,,,,,,212,0301,247+767,,,,, 17.7551,104.3074
sg,rt57,,,,,,212,0301,247+813,,,,, 17.7550,104.3078
sg,rt58,,,,,,212,0301,247+860,,,,, 17.7549,104.3082
sg,rt59,,,,,,212,0301,247+910,,,,, 17.7548,104.3087
sg,rt60,,,,,,212,0301,247+952,,,,, 17.7547,104.3091
sg,rt61,,,,,,212,0301,247+994,,,,, 17.7546,104.3095
sg,rt62,,,,,,212,0301,248+044,,,,, 17.7544,104.3099
sg,rt63,,,,,,212,0301,248+091,,,,, 17.7543,104.3104
sg,rt64,,,,,,212,0301,248+137,,,,, 17.7542,104.3108
sg,rt65,,,,,,212,0301,248+179,,,,, 17.7541,104.3112
sg,rt66,,,,,,212,0301,248+232,,,,, 17.7540,104.3117
sg,rt67,,,,,,212,0301,248+277,,,,, 17.7539,104.3121
sg,rt68,,,,,,212,0301,248+323,,,,, 17.7538,104.3125
sg,rt69,,,,,,212,0301,248+370,,,,, 17.7537,104.3129
sg,rt70,,,,,,212,0301,248+411,,,,, 17.7536,104.3133
sg,rt71,,,,,,212,0301,248+464,,,,, 17.7534,104.3138
sg,rt72,,,,,,212,0301,248+522,,,,, 17.7533,104.3143
